name,latitude,longitude
Casili,18.2743,121.7089
Zumbo River,9.1346,118.1173
Zumarraga Channel,11.6245,124.8293
Zumarraga,11.6388,124.8417
Zumarraga,11.66667,124.86667
Zona Sur,11,122.83333
Zona Sur,10.98333,122.73333
Zona Norte,11.01667,122.75
Zoe Island  Zoe Island,118.95,T
Ziuanan River,18.44018,121.3086
Ziuanan,18.43517,121.28944
Zitanga,18.34792,121.49988
Zinundungan River,18.09746,121.64611
Zinundungan,18.06989,121.55145
Zinarag,18.2962,121.577
Ziminila,18.26508,121.72532
Zimigui River,18.43997,121.3089
Zimigui,18.39963,121.29241
Zig Zag Gate,16.36667,120.6
Zerrudo,11.22778,123.02306
Zayao Island,13.6758,124.4179
Zau Island,5.82694,119.73528
Zarrague,10.93333,122.63333
Zarraga River,10.78333,122.65
Zarraga Point,10.779,122.664
Zarraga Ilaya,10.81667,122.6
Zarraga Ilaud,10.81667,122.6
Zarraga,10.81972,122.60806
Zarraga,10.81667,122.61667
Zaragoza,16.3871,119.9443
Zaragoza,16.2558,119.8903
Anonang,15.1285,120.0589
Zaragoza,14.73333,121.16667
Zaragoza,12.87306,124.08333
Zaragoza,11.46667,123.08333
Zaragosa,11.0065,122.0487
Zaragoza,10.3,124.8
Zaragoza,9.90722,125.57306
Zaragoza,7.17722,126.52389
Zaragosa,16.71667,120.36667
Zaragoza,15.44903,120.79627
Zaragosa,10.17,123.5924
Zaragosa,9.8818,123.37857
Zaragoza,15.45,120.78333
Zapote River,14.4756,120.97013
Zapote,15.08333,120.7
Zapote Subdivision,14.45742,120.96431
Zapote,14.45028,120.96722
Zapato Menor Island,11.71389,122.98306
Zapata Mayor Island,11.75722,123.02694
Zapato Islands,11.73333,123
Zapatera,10.3,123.88333
Zapata Creek,13.26667,124.03333
Zapat,17.8272,120.4838
Zapat,17.8318,120.4652
Sapang River,14.2886,120.7115
Zapang,18.28333,120.71667
Sanja Mayor,14.37531,120.85434
Sanja,18.31257,121.63826
Old Zaniga,14.5797,121.0255
Zamora,10.3704,123.0176
Zamora,10.35,124.95
Zamora,8.46361,125.83861
Zamboanguita Point,9.0947,123.2031
Zamboanguita,9.1025,123.1996
Zamboanguita,9.13333,123.18333
Zamboanga Peninsula,7.53333,122.26667
Zamboangan,6.88333,124.7
Zamboanga Harbor,6.9,122.06667
Province of  Zamboanga del Sur,7.9043,123.3194
Province of Zamboanga del Norte,8,122.66667
Zamboanga City,6.91348,122.06961
Zamboanga,18.1925,120.5553
Zamboanga,6.91028,122.07389
Zamboanga International Airport,6.92242,122.06042
Zambales Mountains,15.7686,120.0883
Province of Zambales,15.33333,120.16667
Zaldivar,10.68333,122.65
Zalabag,10.99333,122.73
Zaball,15.7455,121.5715
Zabala Reef,10.13,119.23639
Zabala,11.14861,124.775
